English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,SkillKey
From the Ashes,涅槃重生,Vanilla,涅槃重生,涅槃重生,涅槃,True,True,死灰復燃,Vanilla,死灰復燃,死灰復燃,涅槃,hv_skill_ability_from_the_ashes_cunning_name
"Pang Tong sacrifices himself, to aid his fellow brothers.",庞统牺牲己身，协助同袍兄弟。,Vanilla,庞统牺牲己身，协助同袍兄弟。,庞统牺牲己身，协助同袍兄弟。,庞统牺牲己身，协助同袍兄弟。,False,False,龐統犧牲己身，協助同袍兄弟。,Vanilla,龐統犧牲己身，協助同袍兄弟。,龐統犧牲己身，協助同袍兄弟。,龐統犧牲己身，協助同袍兄弟。,hv_skill_ability_from_the_ashes_cunning_description
Forest Strider,琼林,MappedByPattern,,森林适性,琼林,False,True,森林適性,MappedByPattern,,森林適性,瓊林,hv_skill_ability_forest_strider_resolve_name
A forest friendly man.,此人与林为友。,MappedByPattern,,此人与林为友。,都说即鹿无虞，而此人却与林为友。,True,True,此人與林爲友。,MappedByPattern,,此人與林爲友。,都說即鹿無虞，而此人卻與林爲友。,hv_skill_ability_forest_strider_resolve_description
Foresight,远见,MappedByPattern,远见,远见,远见,False,True,縱觀全局,MappedByPattern,縱觀全局,縱觀全局,遠見,hv_skill_ability_foresight_cunning_name
"This man can see all that was, and all that will be.",此人鬼才满腹经纶，足以推古衍今。,MappedByPattern,,此人能明鉴古今，洞察未来。,此人能明鉴古今，洞察未来。,True,False,此人能明鑑古今，洞察未來。,MappedByPattern,,此人能明鑑古今，洞察未來。,此人能明鑑古今，洞察未來。,hv_skill_ability_foresight_cunning_description
Flower of the Battlefield,玉骨,MappedByPattern,,战场之花,玉骨,False,True,戰場之花,MappedByPattern,,戰場之花,玉骨,hv_skill_ability_flower_of_battlefield_resolve_name
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,MappedByPattern,,此处不宜美人久留。,看似柳弱花娇，实有巾帼须眉之气。,True,True,此處不宜美人久留。,MappedByPattern,,此處不宜美人久留。,看似柳弱花嬌，實有巾幗鬚眉之氣。,hv_skill_ability_flower_of_battlefield_resolve_description
Flower of the Battlefield,玉骨,MappedByPattern,,战场之花,玉骨,False,True,戰場之花,MappedByPattern,,戰場之花,玉骨,hv_skill_ability_flower_of_battlefield_instinct_name
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,MappedByPattern,,此处不宜美人久留。,看似柳弱花娇，实有巾帼须眉之气。,True,True,此處不宜美人久留。,MappedByPattern,,此處不宜美人久留。,看似柳弱花嬌，實有巾幗鬚眉之氣。,hv_skill_ability_flower_of_battlefield_instinct_description
Flower of the Battlefield,玉骨,MappedByPattern,,战场之花,玉骨,False,True,戰場之花,MappedByPattern,,戰場之花,玉骨,hv_skill_ability_flower_of_battlefield_expertise_name
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,MappedByPattern,,此处不宜美人久留。,看似柳弱花娇，实有巾帼须眉之气。,True,True,此處不宜美人久留。,MappedByPattern,,此處不宜美人久留。,看似柳弱花嬌，實有巾幗鬚眉之氣。,hv_skill_ability_flower_of_battlefield_expertise_description
Flower of the Battlefield,玉骨,MappedByPattern,,战场之花,玉骨,False,True,戰場之花,MappedByPattern,,戰場之花,玉骨,hv_skill_ability_flower_of_battlefield_cunning_name
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,MappedByPattern,,此处不宜美人久留。,看似柳弱花娇，实有巾帼须眉之气。,True,True,此處不宜美人久留。,MappedByPattern,,此處不宜美人久留。,看似柳弱花嬌，實有巾幗鬚眉之氣。,hv_skill_ability_flower_of_battlefield_cunning_description
Flower of the Battlefield,玉骨,MappedByPattern,,战场之花,玉骨,False,True,戰場之花,MappedByPattern,,戰場之花,玉骨,hv_skill_ability_flower_of_battlefield_authority_name
It's not a good place for a beautiful woman to stay.,此处不宜美人久留。,MappedByPattern,,此处不宜美人久留。,看似柳弱花娇，实有巾帼须眉之气。,True,True,此處不宜美人久留。,MappedByPattern,,此處不宜美人久留。,看似柳弱花嬌，實有巾幗鬚眉之氣。,hv_skill_ability_flower_of_battlefield_authority_description
Fleet-footed,疾行,Vanilla,疾行,疾行,疾行,False,True,腳步迅捷,Vanilla,腳步迅捷,腳步迅捷,疾行,hv_skill_ability_fleet_footed_expertise_name
This hero believes you can only kill that which you can catch.,此人行动迅如狡兔，万军擒拿亦若无物。,MappedByPattern,,此人相信，要将敌人除之而后快，就必须先追得上敌人。,此人相信，要将敌人除之而后快，就必须先追得上敌人。,True,False,此人相信，要將敵人除之而後快，就必須先追得上敵人。,MappedByPattern,,此人相信，要將敵人除之而後快，就必須先追得上敵人。,此人相信，要將敵人除之而後快，就必須先追得上敵人。,hv_skill_ability_fleet_footed_expertise_description
Fleet-footed,疾行,Vanilla,疾行,疾行,疾行,False,True,腳步迅捷,Vanilla,腳步迅捷,腳步迅捷,疾行,hv_skill_ability_fleet_footed_authority_name
This hero believes you can only kill that which you can catch.,此人行动迅如狡兔，万军擒拿亦若无物。,MappedByPattern,,此人相信，要将敌人除之而后快，就必须先追得上敌人。,此人相信，要将敌人除之而后快，就必须先追得上敌人。,True,False,此人相信，要將敵人除之而後快，就必須先追得上敵人。,MappedByPattern,,此人相信，要將敵人除之而後快，就必須先追得上敵人。,此人相信，要將敵人除之而後快，就必須先追得上敵人。,hv_skill_ability_fleet_footed_authority_description
Flames of the Phoenix,炎凤,Vanilla,炎凤,炎凤,炎凤,False,True,鳳凰之火,Vanilla,鳳凰之火,鳳凰之火,炎鳳,hv_skill_ability_flames_of_the_phoenix_resolve_name
A devastating swing with the power of the risen inferno!,凤怒炎涛，摧枯拉朽！,Vanilla,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,False,True,挾帶竄升烈火之力的毀滅一擊！,Vanilla,挾帶竄升烈火之力的毀滅一擊！,挾帶竄升烈火之力的毀滅一擊！,鳳怒炎濤，摧枯拉朽！,hv_skill_ability_flames_of_the_phoenix_resolve_description
Flames of the Phoenix,炎凤,Vanilla,炎凤,炎凤,炎凤,False,True,鳳凰之火,Vanilla,鳳凰之火,鳳凰之火,炎鳳,hv_skill_ability_flames_of_the_phoenix_instinct_name
A devastating swing with the power of the risen inferno!,凤怒炎涛，摧枯拉朽！,Vanilla,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,False,True,挾帶竄升烈火之力的毀滅一擊！,Vanilla,挾帶竄升烈火之力的毀滅一擊！,挾帶竄升烈火之力的毀滅一擊！,鳳怒炎濤，摧枯拉朽！,hv_skill_ability_flames_of_the_phoenix_instinct_description
Flames of the Phoenix,炎凤,Vanilla,炎凤,炎凤,炎凤,False,True,鳳凰之火,Vanilla,鳳凰之火,鳳凰之火,炎鳳,hv_skill_ability_flames_of_the_phoenix_authority_name
A devastating swing with the power of the risen inferno!,凤怒炎涛，摧枯拉朽！,Vanilla,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,凤怒炎涛，摧枯拉朽！,False,True,挾帶竄升烈火之力的毀滅一擊！,Vanilla,挾帶竄升烈火之力的毀滅一擊！,挾帶竄升烈火之力的毀滅一擊！,鳳怒炎濤，摧枯拉朽！,hv_skill_ability_flames_of_the_phoenix_authority_description
Fire Control,穿杨,MappedByPattern,,,,True,True,穿楊,MappedByPattern,,,,hv_skill_ability_fire_control_veteran_name
Organised volleys prove more effective.,依序射击更为有效。,MappedByPattern,,,,True,True,依序射擊更為有效。,MappedByPattern,,,,hv_skill_ability_fire_control_veteran_description
Fire Control,穿杨,MappedByPattern,,火控,穿杨,False,False,穿楊,MappedByPattern,,火控,穿楊,hv_skill_ability_fire_control_expertise_name
Organised volleys prove more effective.,依序射击更为有效。,MappedByPattern,,依序射击更为有效。,静下心来瞄准方能百发百中。,True,True,依序射擊更為有效。,MappedByPattern,,依序射擊更為有效。,靜下心來瞄準方能百發百中。,hv_skill_ability_fire_control_expertise_description
Fire Control,穿杨,MappedByPattern,,火控,穿杨,False,False,穿楊,MappedByPattern,,火控,穿楊,hv_skill_ability_fire_control_cunning_name
Organised volleys prove more effective.,依序射击更为有效。,MappedByPattern,,依序射击更为有效。,静下心来瞄准方能百发百中。,True,True,依序射擊更為有效。,MappedByPattern,,依序射擊更為有效。,靜下心來瞄準方能百發百中。,hv_skill_ability_fire_control_cunning_description
Fire Control,穿杨,MappedByPattern,,火控,穿杨,False,False,穿楊,MappedByPattern,,火控,穿楊,hv_skill_ability_fire_control_authority_name
Organised volleys prove more effective.,依序射击更为有效。,MappedByPattern,,依序射击更为有效。,静下心来瞄准方能百发百中。,True,True,依序射擊更為有效。,MappedByPattern,,依序射擊更為有效。,靜下心來瞄準方能百發百中。,hv_skill_ability_fire_control_authority_description
Fire Bomb,火焰弹,MappedByPattern,火焰弹,火焰弹,火焰弹,False,True,火油彈,MappedByPattern,火油彈,火油彈,火焰彈,hv_skill_ability_fire_bomb_instinct_name
Hurl a bundle of explosive fire bombs to knock down the enemy.,扔掷爆裂火油弹来击倒敌人。,MappedByPattern,,扔掷爆裂火油弹来击倒敌人。,扔掷爆裂火油弹来击倒敌人。,False,False,扔擲爆裂火油彈來擊倒敵人。,MappedByPattern,,扔擲爆裂火油彈來擊倒敵人。,扔擲爆裂火油彈來擊倒敵人。,hv_skill_ability_fire_bomb_instinct_description
Fire Bomb,火焰弹,MappedByPattern,火焰弹,火焰弹,火焰弹,False,True,火油彈,MappedByPattern,火油彈,火油彈,火焰彈,hv_skill_ability_fire_bomb_cunning_name
Hurl a bundle of explosive fire bombs to knock down the enemy.,扔掷爆裂火油弹来击倒敌人。,MappedByPattern,,扔掷爆裂火油弹来击倒敌人。,扔掷爆裂火油弹来击倒敌人。,False,False,扔擲爆裂火油彈來擊倒敵人。,MappedByPattern,,扔擲爆裂火油彈來擊倒敵人。,扔擲爆裂火油彈來擊倒敵人。,hv_skill_ability_fire_bomb_cunning_description
Fire Bomb,火焰弹,MappedByPattern,火焰弹,火焰弹,火焰弹,False,True,火油彈,MappedByPattern,火油彈,火油彈,火焰彈,hv_skill_ability_fire_bomb_authority_name
Hurl a bundle of explosive fire bombs to knock down the enemy.,扔掷爆裂火油弹来击倒敌人。,MappedByPattern,,扔掷爆裂火油弹来击倒敌人。,扔掷爆裂火油弹来击倒敌人。,False,False,扔擲爆裂火油彈來擊倒敵人。,MappedByPattern,,扔擲爆裂火油彈來擊倒敵人。,扔擲爆裂火油彈來擊倒敵人。,hv_skill_ability_fire_bomb_authority_description
Favourable Skies,天时,Vanilla,天时,天时,天时,False,True,有利天候,Vanilla,有利天候,有利天候,天時,hv_skill_ability_favourable_skies_name
Knowing when best to shoot is most effective when you are the one being shot at.,欲中其的，先处其位,Vanilla,欲中其的，先处其位,欲中其的，先处其位,欲中其的，先处其位。,True,True,瞭解最佳的放箭時機，在輪到自己挨箭時便能收到奇效。,Vanilla,瞭解最佳的放箭時機，在輪到自己挨箭時便能收到奇效。,瞭解最佳的放箭時機，在輪到自己挨箭時便能收到奇效。,欲中其的，先處其位。,hv_skill_ability_favourable_skies_description
Exemplar,楷模,Vanilla,楷模,楷模,楷模,False,True,為人典範,Vanilla,為人典範,為人典範,楷模,hv_skill_ability_exemplar_resolve_name
"A shining, typical, and above all appropriate model of how one should be.",此乃举世无双之楷模！,Vanilla,此乃举世无双之楷模！,此乃举世无双之楷模！,躬先表率，此乃将士之范！,True,True,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,Vanilla,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,躬先表率，此乃將士之範！,hv_skill_ability_exemplar_resolve_description
Exemplar,楷模,Vanilla,楷模,楷模,楷模,False,True,為人典範,Vanilla,為人典範,為人典範,楷模,hv_skill_ability_exemplar_expertise_name
"A shining, typical, and above all appropriate model of how one should be.",此乃举世无双之楷模！,Vanilla,此乃举世无双之楷模！,此乃举世无双之楷模！,躬先表率，此乃将士之范！,True,True,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,Vanilla,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,躬先表率，此乃將士之範！,hv_skill_ability_exemplar_expertise_description
Exemplar,楷模,Vanilla,楷模,楷模,楷模,False,True,為人典範,Vanilla,為人典範,為人典範,楷模,hv_skill_ability_exemplar_cunning_name
"A shining, typical, and above all appropriate model of how one should be.",此乃举世无双之楷模！,Vanilla,此乃举世无双之楷模！,此乃举世无双之楷模！,躬先表率，此乃将士之范！,True,True,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,Vanilla,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,躬先表率，此乃將士之範！,hv_skill_ability_exemplar_cunning_description
Exemplar,楷模,Vanilla,楷模,楷模,楷模,False,True,為人典範,Vanilla,為人典範,為人典範,楷模,hv_skill_ability_exemplar_authority_name
"A shining, typical, and above all appropriate model of how one should be.",此乃举世无双之楷模！,Vanilla,此乃举世无双之楷模！,此乃举世无双之楷模！,躬先表率，此乃将士之范！,True,True,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,Vanilla,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,躬先表率，此乃將士之範！,hv_skill_ability_exemplar_authority_description
Eviscerate,剔骨,MappedByPattern,,,,True,True,剔骨,MappedByPattern,,,,hv_skill_ability_eviscerate_veteran_name
"When the victim was aware of what had happened, it must have already been a serious situation.",等到被害者明白过来，就已为时已晚。,MappedByPattern,,,,True,True,等到被害者明白過來，就已爲時已晚。,MappedByPattern,,,,hv_skill_ability_eviscerate_veteran_description
Eviscerate,剔骨,MappedByPattern,,剔骨,剔骨,False,False,剔骨,MappedByPattern,,剔骨,剔骨,hv_skill_ability_eviscerate_resolve_name
"When the victim was aware of what had happened, it must have already been a serious situation.",等到被害者明白过来，就已为时已晚。,MappedByPattern,,等到被害者明白过来，就已为时已晚。,等到被害者明白过来，就已为时已晚。,False,False,等到被害者明白過來，就已爲時已晚。,MappedByPattern,,等到被害者明白過來，就已爲時已晚。,等到被害者明白過來，就已爲時已晚。,hv_skill_ability_eviscerate_resolve_description
Eviscerate,剔骨,MappedByPattern,,,,True,True,剔骨,MappedByPattern,,,,hv_skill_ability_eviscerate_instinct_name
"When the victim was aware of what had happened, it must have already been a serious situation.",等到被害者明白过来，就已为时已晚。,MappedByPattern,,,,True,True,等到被害者明白過來，就已爲時已晚。,MappedByPattern,,,,hv_skill_ability_eviscerate_instinct_description
Elemental Vigour,龙胆,MappedByPattern,龙胆,龙胆,龙胆,False,True,五行之力,MappedByPattern,五行之力,五行之力,龍膽,hv_skill_ability_elemental_vigour_expertise_name
"The longer this warrior fights, the greater and more inspiring they becomes!",此人会随着战斗时间拉长而越战越勇，激励士气的效果也随之增强！,MappedByPattern,,此人会随着战斗时间拉长而越战越勇，激励士气的效果也随之增强！ ,此人会随着战斗时间拉长而越战越勇，激励士气的效果也随之增强！ ,True,True,此人會隨著戰鬥時間拉長而越戰越勇，激勵士氣的效果也隨之增強！,MappedByPattern,,此人會隨著戰鬥時間拉長而越戰越勇，激勵士氣的效果也隨之增強！,此人會隨着戰鬥時間拉長而越戰越勇，激勵士氣的效果也隨之增強！ ,hv_skill_ability_elemental_vigour_expertise_description
Dong Zhuo's Command,相令,MappedByPattern,,董卓之令,相令,False,False,相令,MappedByPattern,,董卓之令,相令,hv_skill_ability_dong_command_instinct_name
"A merciless order, for Dong Zhuo's men and his enemies.",来自相国严苛的命令。,Procrastinator,,严苛高压的命令。,来自相国严苛的命令。,False,False,來自相國嚴苛的命令。,Procrastinator,,嚴苛高壓的命令。,來自相國嚴苛的命令。,hv_skill_ability_dong_command_instinct_description
Distant Courage,决胜千里,MappedByPattern,坚毅,坚毅,坚毅,True,True,千里助勢,MappedByPattern,千里助勢,千里助勢,堅毅,hv_skill_ability_distant_courage_instinct_name
This general directs and empowers his forces from a… safer distance.,此将会在…安全距离指挥激励部队。,MappedByText,,该英雄会在…安全距离指挥激励部队。,大将军难道不应该在远离纷争的地方运筹帷幄？,True,True,這名將軍指揮若定，鼓舞盟友大顯身手…但他本人並不親赴前線。,MappedByText,,這名英雄指揮若定，鼓舞盟友大顯身手…但他本人並不親赴前線。,大將軍難道不應該在遠離紛爭的地方運籌帷幄？,hv_skill_ability_distant_courage_instinct_description
Distant Courage,决胜千里,MappedByPattern,坚毅,坚毅,坚毅,True,True,千里助勢,MappedByPattern,千里助勢,千里助勢,堅毅,hv_skill_ability_distant_courage_authority_name
This general directs and empowers his forces from a… safer distance.,此将会在…安全距离指挥激励部队。,MappedByText,,该英雄会在…安全距离指挥激励部队。,大将军难道不应该在远离纷争的地方运筹帷幄？,True,True,這名將軍指揮若定，鼓舞盟友大顯身手…但他本人並不親赴前線。,MappedByText,,這名英雄指揮若定，鼓舞盟友大顯身手…但他本人並不親赴前線。,大將軍難道不應該在遠離紛爭的地方運籌帷幄？,hv_skill_ability_distant_courage_authority_description
Disorientate,蛊惑,Vanilla,蛊惑,蛊惑,蛊惑,False,True,打亂方向,Vanilla,打亂方向,打亂方向,蠱惑,hv_skill_ability_disorientate_name
A master of the battlefield can undermine even the surest of soldiers.,坚忍之士亦为所惑,Vanilla,坚忍之士亦为所惑,坚忍之士亦为所惑,坚忍之士亦为所惑。,True,True,熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。,Vanilla,熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。,熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。,堅忍之士亦爲所惑。,hv_skill_ability_disorientate_description
Devastating Roar,狂号,Vanilla,狂号,狂号,狂号,False,True,毀滅之吼,Vanilla,毀滅之吼,毀滅之吼,狂號,hv_skill_ability_devastating_roar_instinct_name
The roar of fury crushes enemy morale!,以愤怒的怒吼压制敌人士气！,Vanilla,以愤怒的怒吼压制敌人士气！,以愤怒的怒吼压制敌人士气！,以愤怒的怒吼压制敌人士气！,False,True,狂怒的吼聲擊潰敵軍士氣！,Vanilla,狂怒的吼聲擊潰敵軍士氣！,狂怒的吼聲擊潰敵軍士氣！,以憤怒的怒吼壓制敵人士氣！,hv_skill_ability_devastating_roar_instinct_description
Desperate Cry,绝号,Vanilla,绝号,绝号,绝号,False,True,慘烈呼喊,Vanilla,慘烈呼喊,慘烈呼喊,絕號,hv_skill_ability_desperate_cry_name
"It is not always the command that motivates, but the way it is given.",驱人者非令，道也,Vanilla,驱人者非令，道也,驱人者非令，道也,驱人者非令，道也。,True,True,能激勵人的不見得是命令的內容，也可能是發號施令的方法。,Vanilla,能激勵人的不見得是命令的內容，也可能是發號施令的方法。,能激勵人的不見得是命令的內容，也可能是發號施令的方法。,驅人者非令，道也。,hv_skill_ability_desperate_cry_description
Mountains,泰山,MappedByPattern,,,,True,True,山陣,MappedByPattern,,,,hv_skill_ability_defence_mastery_resolve_name
Form an air-tight defence.,稳如泰山，无隙可乘。,MappedByPattern,,,,True,True,組成無隙可乘的防禦陣型。,MappedByPattern,,,,hv_skill_ability_defence_mastery_resolve_description
Mountains,泰山,MappedByPattern,,山阵,泰山,False,True,山陣,MappedByPattern,,山陣,泰山,hv_skill_ability_defence_mastery_authority_name
Form an air-tight defence.,稳如泰山，无隙可乘。,MappedByPattern,,组成无隙可乘的防御阵行。,稳如泰山，无隙可乘。,False,True,組成無隙可乘的防禦陣型。,MappedByPattern,,組成無隙可乘的防禦陣行。,穩如泰山，無隙可乘。,hv_skill_ability_defence_mastery_authority_description
Cry of the Forest,林啸,Vanilla,林啸,林啸,林啸,False,True,森林戰嚎,Vanilla,森林戰嚎,森林戰嚎,林嘯,hv_skill_ability_cry_of_the_forest_resolve_name
"When weakest, Dian Wei unleashes his true power!",势穷力衰，身处绝境，典韦将如恶来再现人间！,Vanilla,势穷力衰，身处绝境，典韦将如恶来再现人间！,势穷力衰，身处绝境，典韦将如恶来再现人间！,势穷力衰，身处绝境，典韦将如恶来再现人间！,False,True,典韋在傷得最重時，才會顯露出真正的實力！,Vanilla,典韋在傷得最重時，才會顯露出真正的實力！,典韋在傷得最重時，才會顯露出真正的實力！,勢窮力衰，身處絕境，典韋將如惡來再現人間！,hv_skill_ability_cry_of_the_forest_resolve_description
Cruel Command,强令,MappedByPattern,,酷令,强令,False,False,強令,MappedByPattern,,酷令,強令,hv_skill_ability_cruel_lord_authority_name
"This general's orders are absolute and cannot be refused, no matter how unreasonable they may be.",命令不易实行但却不可不从。,Procrastinator,,命令不易实行但也不可不从。,命令不易实行但却不可不从。,False,False,命令不易實行但卻不可不從。,Procrastinator,,命令不易實行但也不可不從。,命令不易實行但卻不可不從。,hv_skill_ability_cruel_lord_authority_description
Crossing of the River Sanzu,黄泉,MappedByPattern,,,,True,True,黃泉之路,MappedByPattern,,,,hv_skill_ability_crossing_of_the_styx_scholar_name
Did you get the boat fare? Heaven! Earth! Mankind!!,奈何桥前可奈何，三生石上写三生。,MappedByPattern,,,,True,True,奈何橋前可奈何，三生石上寫三生。,MappedByPattern,,,,hv_skill_ability_crossing_of_the_styx_scholar_description
Crossing of the River Sanzu,黄泉,MappedByPattern,,,,True,True,黃泉之路,MappedByPattern,,,,hv_skill_ability_crossing_of_the_styx_healer_name
Did you get the boat fare? Heaven! Earth! Mankind!!,奈何桥前可奈何，三生石上写三生。,MappedByPattern,,,,True,True,奈何橋前可奈何，三生石上寫三生。,MappedByPattern,,,,hv_skill_ability_crossing_of_the_styx_healer_description
Earth-shattering Strike,裂地,Vanilla,裂地,裂地,裂地,False,True,天崩地裂,Vanilla,天崩地裂,天崩地裂,裂地,hv_skill_ability_crash_veteran_name
A furious strike that sends anyone nearby reeling.,充满怒意的一击，周遭敌军尽受其害,Vanilla,充满怒意的一击，周遭敌军尽受其害,充满怒意的一击，周遭敌军尽受其害,兽困则噬，山崩地裂。,True,True,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,Vanilla,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,獸困則噬，山崩地裂。,hv_skill_ability_crash_veteran_description
Earth-shattering Strike,裂地,Vanilla,裂地,裂地,裂地,False,True,天崩地裂,Vanilla,天崩地裂,天崩地裂,裂地,hv_skill_ability_crash_resolve_name
A furious strike that sends anyone nearby reeling.,充满怒意的一击，周遭敌军尽受其害,Vanilla,充满怒意的一击，周遭敌军尽受其害,充满怒意的一击，周遭敌军尽受其害,兽困则噬，山崩地裂。,True,True,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,Vanilla,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,獸困則噬，山崩地裂。,hv_skill_ability_crash_resolve_description
Condemned Howl,狂啸,MappedByPattern,狂啸,狂啸,狂啸,False,True,天譴之嘯,MappedByPattern,天譴之嘯,天譴之嘯,狂嘯,hv_skill_ability_condemned_howl_resolve_name
This warrior fights with a fatal rage - an erratic fury!,此勇士临战则狂，攻势狂暴猛烈！,MappedByPattern,,此勇士挟滔天怒火奋战，攻势狂暴猛烈！,此勇士挟滔天怒火奋战，攻势狂暴猛烈！,True,False,此勇士挾滔天怒火奮戰，攻勢狂暴猛烈！,MappedByPattern,,此勇士挾滔天怒火奮戰，攻勢狂暴猛烈！,此勇士挾滔天怒火奮戰，攻勢狂暴猛烈！,hv_skill_ability_condemned_howl_resolve_description
Condemn,声讨,Vanilla,声讨,声讨,声讨,False,True,譴責,Vanilla,譴責,譴責,聲討,hv_skill_ability_condemn_name
These words will bring shame and humiliation.,闻此詈语，无不羞愧。,Vanilla,闻此詈语，无不羞愧。,闻此詈语，无不羞愧。,闻此詈语，无不羞愧。,False,True,這樣的話語會帶來羞愧與恥辱。,Vanilla,這樣的話語會帶來羞愧與恥辱。,這樣的話語會帶來羞愧與恥辱。,聞此詈語，無不羞愧。,hv_skill_ability_condemn_description
Commanding Shout,训令,Vanilla,训令,训令,战嚎,True,True,號令吶喊,Vanilla,號令吶喊,號令吶喊,戰嚎,hv_skill_ability_commanding_shout_name
A war cry from one warrior to another.,同袍兄弟，狂呼迎战,Vanilla,同袍兄弟，狂呼迎战,同袍兄弟，狂呼迎战,同袍兄弟，狂呼迎战。,True,True,從一名戰士傳達到另一名戰士的戰鬥口號。,Vanilla,從一名戰士傳達到另一名戰士的戰鬥口號。,從一名戰士傳達到另一名戰士的戰鬥口號。,同袍兄弟，狂呼迎戰。,hv_skill_ability_commanding_shout_description
Ceasefire,息兵,Vanilla,息兵,息兵,息兵,False,True,止兵莫動,Vanilla,止兵莫動,止兵莫動,息兵,hv_skill_ability_ceasefire_authority_name
"Liu Zhang calls a ceasefire for all nearby units, delaying the enemy while his allies work on a counter-attack.",刘璋呼吁周遭止息兵戈，以延缓敌军进攻，为友军创造反击良机。,Vanilla,刘璋呼吁周遭止息兵戈，以延缓敌军进攻，为友军创造反击良机。,刘璋呼吁周遭止息兵戈，以延缓敌军进攻，为友军创造反击良机。,刘璋呼吁周遭止息兵戈，以延缓敌军进攻，为友军创造反击良机。,False,True,劉璋要求周遭所有單位暫時止兵，以延緩敵軍進攻，盟友則趁機準備反擊。,Vanilla,劉璋要求周遭所有單位暫時止兵，以延緩敵軍進攻，盟友則趁機準備反擊。,劉璋要求周遭所有單位暫時止兵，以延緩敵軍進攻，盟友則趁機準備反擊。,劉璋呼籲周遭止息兵戈，以延緩敵軍進攻，爲友軍創造反擊良機。,hv_skill_ability_ceasefire_authority_description
Make Calm Down,镇静,MappedByPattern,,镇静,将才,True,True,鎮靜,MappedByPattern,,鎮靜,將才,hv_skill_ability_calm_down_veteran_name
Reassuring words prevent soldiers from wavering on a chaotic battlefield.,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,安慰之言以防士卒于乱战中摇摆不定。,临危不惧，从容自若，真乃将才也！,True,True,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,安慰之言以防士卒于乱战中摇摆不定。,臨危不懼，從容自若，真乃將才也！,hv_skill_ability_calm_down_veteran_description
Make Calm Down,镇静,MappedByPattern,,,,True,True,鎮靜,MappedByPattern,,,,hv_skill_ability_calm_down_scholar_name
Reassuring words prevent soldiers from wavering on a chaotic battlefield.,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,,,True,True,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,,,hv_skill_ability_calm_down_scholar_description
Make Calm Down,镇静,MappedByPattern,,镇静,将才,True,True,鎮靜,MappedByPattern,,鎮靜,將才,hv_skill_ability_calm_down_expertise_name
Reassuring words prevent soldiers from wavering on a chaotic battlefield.,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,安慰之言以防士卒于乱战中摇摆不定。,安慰之言以防士卒于乱战中摇摆不定。,False,True,安慰之言以防士卒于乱战中摇摆不定。,MappedByPattern,,安慰之言以防士卒于乱战中摇摆不定。,安慰之言以防士卒於亂戰中搖擺不定。,hv_skill_ability_calm_down_expertise_description
Make Calm Down,镇静,MappedByPattern,,镇静,将才,True,True,鎮靜,MappedByPattern,,鎮靜,將才,hv_skill_ability_calm_down_authority_name
