File,eng,zh-cn,zh-tw
hv_TEXT_skills_additional.loc.tsv,Replaces unit: {{tr:hv_unit_destroyer_of_traitors}} ({{tr:hv_unit_elite_2h_spear_cavalry}}),替换部队：{{tr:hv_unit_destroyer_of_traitors}}（{{tr:hv_unit_elite_2h_spear_cavalry}}）,替換單位：{{tr:hv_unit_destroyer_of_traitors}}（{{tr:hv_unit_elite_2h_spear_cavalry}}）
hv_TEXT_skills_additional.loc.tsv,This hero gets a bonus in duels. ,此英雄在单挑中有加成。,此英雄在單挑中有加成。
hv_TEXT_skills_additional.loc.tsv,This hero gets a great bonus in duels. ,此英雄在单挑中有强大加成。,此英雄在單挑中有强大加成。
hv_TEXT_skills_additional.loc.tsv,Your attendant will assemble volunteers for military service.,你的随从将去募集兵员。,您的隨從將去募集兵員。
hv_TEXT_skills_additional.loc.tsv,Your attendant will help to expand the settlement. ,你的随从将协助扩张此城镇。,您的隨從將協助擴張此城鎮。
hv_TEXT_skills_additional.loc.tsv,"Your attendant will manage court affairs, streamlining bureaucracy.",你的随从将管理宫廷事务，精简政务。,您的隨從將管理宮廷事務，精簡政務。
hv_TEXT_skills_additional.loc.tsv,Your attendant will seek recruits for the local garrison.,你的随从将为此地驻军寻找新兵。,您的隨從將爲此地駐軍尋找新兵。
hv_TEXT_skills_additional.loc.tsv,Your attendant will support your army in enemy territory.,你的随从将在敌方领土支持你的军队。,您的隨從將在敵方領土支援您的軍隊。
hv_TEXT_skills_basic.loc.tsv,"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",一柄精美绝伦的宝剑，错以黄金，饰以鲛皮，与皇室之尊位相称。,一柄精美絕倫的寶劍。這把飾有鯊皮的鑲金寶劍正好匹配皇室。
hv_TEXT_skills_skill_ability_etc.loc.tsv,Enables: Duelling,可使用：单挑,可使用：單挑
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Active Buff All Entities,全体主动增益,全體主動增益
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Active Buff Ally,我方主动增益,我方主動增益
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Active Buff Self,自身主动增益,自身主動增益
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Active Debuff Enemy,敌方主动减益,敵方主動減益
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Melee Attack (Auto),近战攻击（自动）,近戰攻擊（自動）
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Passive Buff Ally,我方被动增益,我方被動增益
hv_TEXT_skills_skill_ability_name_desc.loc.tsv,Passive Debuff Enemy,敌方被动减益,敵方被動減益
hv_TEXT_unit_abilities.loc.tsv,Active Buff Ally (Auto),我方主动增益（自动）,我方主動增益（自動）
hv_TEXT_unit_abilities.loc.tsv,Active Buff Self (Auto),自身主动增益（自动）,自身主動增益（自動）
hv_TEXT_unit_abilities.loc.tsv,Active Debuff Enemy (Auto),敌方主动减益（自动）,敵方主動減益（自動）
hv_TEXT_unit_abilities.loc.tsv,Passive Ally Buff,我方被动增益,我方被動增益
hv_TEXT_unit_abilities.loc.tsv,Passive Buff Self,自身被动增益,自身被動增益
hv_TEXT_unit_desc.loc.tsv,A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,对任何一个士兵来说，一队持矛骑兵的冲锋都会令人生畏。但如果杀来的是燕国战士，则是一种全新的恐怖。,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。
hv_TEXT_unit_desc.loc.tsv,"Amongst the hills of Jingchu, the unwary may find themselves tripped upon a caltrop, and slain by the man who laid it.",在荆楚的山中，粗心的人可能会被一把蒺藜绊倒，然后被放它的人杀死。,在荊楚的山中，粗心的人可能會被一把蒺藜絆倒，然後被放它的人殺死。
hv_TEXT_unit_desc.loc.tsv,"An illustrious lineage provides many swords, along with men willing to wield them.",显赫的血统可以使许多剑士愿意效命。,顯赫的血統可以使許多劍士願意效命。
hv_TEXT_unit_desc.loc.tsv,"Armed with bow and sword, these disciplined riders enforce the will of their warlord.",佩戴剑弓，这些纪律严明的骑手执行他们主公的意志。,佩戴劍弓，這些紀律嚴明的騎手執行他們主公的意志。
hv_TEXT_unit_desc.loc.tsv,"Armed with bow and sword, these hardy soldiers enforce the will of their warlord.",佩戴剑弓，这些硬朗的士兵执行他们主公的意志。,佩戴劍弓，這些硬朗的士兵執行他們主公的意志。
hv_TEXT_unit_desc.loc.tsv,"As the enemy spots the blue turbans on the field, they know the hardest fighting is about to begin.",当敌人在战场上看到蓝色头巾时，他们就知道最艰苦的战斗即将开始。,當敵人在戰場上看到藍色頭巾時，他們就知道最艱苦的戰鬥即將開始。
hv_TEXT_unit_desc.loc.tsv,"Brandishing their Ji expertly, these men will uphold the fearsome reputation of the Xiliang army.",这些人熟练地挥舞着战戟，他们会维护西凉军可怕的声誉。,這些人熟練地揮舞著戰戟，他們會維護西涼軍可怕的聲譽。
hv_TEXT_unit_desc.loc.tsv,Bravery drives a warrior to battle more effectively than any general; a great axe keeps them there.,勇气是最好的将领，能带领士兵踏上沙场。良斧在手，则能让士兵在沙场存活。,勇氣是最好的將領，能帶領士兵踏上沙場。良斧在手，則能讓士兵在沙場存活。
hv_TEXT_unit_desc.loc.tsv,"Echoing the glory of Chu, the great axes these men wield will make short work of their shielded foes.",这些人所挥的大斧是楚国的荣耀，即使是持盾的敌人亦命不久矣。,這些人所揮的大斧是楚國的榮耀，即使是持盾的敵人亦命不久矣。
hv_TEXT_unit_desc.loc.tsv,"Echoing the nomads they fought for years, these horse archers will do the Xiliang army proud on any battlefield.",这些马弓手与其他游牧部落征战多年，在任何战场上都是西凉军的骄傲。,這些馬弓手與其他遊牧部落征戰多年，在任何戰場上都是西涼軍的驕傲。
hv_TEXT_unit_desc.loc.tsv,"Even in the elite Xiliang army, having a big sword can only bring advantages to a commander.",就算在精锐的西凉军里，一把大刀对于将领来说也颇有好处。,就算在精銳的西涼軍裏，一把大刀對於將領來説也頗有好處。
hv_TEXT_unit_desc.loc.tsv,"Excellent Ji wielders, these soldiers are loyal to Liu Bao to protect the honor of Jing province.",,
hv_TEXT_unit_desc.loc.tsv,"Hardened Xiliang soldies, these elite spearmen will hold the line against all comers.",这些精锐矛兵是百经锤炼的西凉战士，会坚守阵地对抗所有来敌。,這些精銳矛兵是百經錘煉的西涼戰士，會堅守陣地對抗所有來敵。
hv_TEXT_unit_desc.loc.tsv,"Having defended their home for long enough, even militia may grow to rival professional soldiers.",民兵在百战后其技艺已经可以匹敌朝廷士兵。,民兵在百戰後其技藝已經可以匹敵朝廷士兵。
hv_TEXT_unit_desc.loc.tsv,Heavily-armoured troops carrying iron bows that requires very strong tension. ,重装部队，携带张力很强的铁弓。,重裝部隊，携帶張力很强的鐵弓。
hv_TEXT_unit_desc.loc.tsv,Leads and commands the retinues.,领导及指挥随从。,領導及指揮隨從。
hv_TEXT_unit_desc.loc.tsv,"Liu Bao's elite swordsmen, embodying Jing province's martial spirit with unmatched blade mastery.",,
hv_TEXT_unit_desc.loc.tsv,No horseman shall pass these spearmen from the famed Xiliang army.,没有任何骑兵能冲破赫赫有名的西凉军枪阵。,沒有任何騎兵能衝破赫赫有名的西涼軍槍陣。
hv_TEXT_unit_desc.loc.tsv,"Raining death from afar, the archers of Jingchu have learned well the advantage that the bow brings in hilly terrain.",在崎岖的荆楚山丘中，荆州弓手的箭雨堪比天降死神。,在崎嶇的荊楚山丘中，荊州弓手的箭雨堪比天降死神。
hv_TEXT_unit_desc.loc.tsv,"Stalwart as the hills they were raised in, these Chu spearmen are an asset to any warlord.",荆楚矛兵的忠勇对任何军阀来说都是一笔巨大的财产。,荊楚矛兵的忠勇對任何軍閥來說都是一筆巨大的財產。
hv_TEXT_unit_desc.loc.tsv,Steppe horse archers are in high demand by many warlords. But sometimes they make a better profit by working for themselves.,很多军阀都想要有草原骑射手。但与其为人效命，有时候不如自己单干。,很多軍閥都想要有草原騎射手。但與其為人效命，有時候不如自己單幹。
hv_TEXT_unit_desc.loc.tsv,The Glory of the Han shall endure while these men have the strength to wield their halberds.,只要这些人有力量挥舞他们的战戟，汉室的荣耀就将延续。,只要這些人有力量揮舞他們的戰戟，漢室的榮耀就將延續。
hv_TEXT_unit_desc.loc.tsv,The Han must be restored. These men shall follow their righteous general to the death to see it done.,汉室必须复兴。这些人将誓死跟随他们通晓大义的将军。,漢室必須復興。這些人將誓死跟隨他們通曉大義的將軍。
hv_TEXT_unit_desc.loc.tsv,The Yan frontier offers no shortage of good horses. The constant warfare provides these steeds with expert riders.,燕疆不乏良马。连绵的战事为这些战马提供了老练的骑手。,燕疆不乏良馬。連綿的戰事為這些戰馬提供了老練的騎手。
hv_TEXT_unit_desc.loc.tsv,"The Yellow Turban rebellion challenges the corruption that poisons China and has made many question old loyalties. \\n\\n These noblemen have renounced their former warlords to seek justice and redemption. Their previous life of privilege has trained and equipped them well, and they ride into battle clad in ornate armour and helmets upon impressive mounts of the finest stock. \\n\\n With sharp spears, the impact of their charge is merely a way to break the enemy’s lines for deadly close combat.",黄巾军冲击了天下的腐朽势力，许多人都开始有所动摇。\\n\\n这些贵族不再效忠于之前的诸侯，而是另寻天义以求救赎。他们之前生活优渥，自然装备训练充足，他们身着华丽兜鍪骑良马杀入战场，他们手持锋利的长枪，冲破敌阵后也会近战砍杀。,黃巾軍起義，劍指危害天下的腐敗，並讓許多人對心中舊有的忠誠觀念產生疑問。 \\n\\n 這些名門賢士拋棄了原先效忠的諸侯，轉而尋求公義，彌補自己的罪過。他們因先前的優渥生活而受過紮實的訓練，並擁有精良的裝備。賢士穿戴華美的護甲與頭盔，騎著威風凜凜的良駒駿馬踏上戰場。 \\n\\n 他們手持鋒利的長槍向前衝鋒，只為突破陣線，與敵軍來場你死我活的近戰廝殺。
hv_TEXT_unit_desc.loc.tsv,"The pride of the Xiliang army, these armored horsemen will teach their enemy the meaning of “elite cavalry”.",作为西凉军的骄傲，这些重甲骑兵将教导他们的敌人“精锐骑兵”的含义。,作爲西涼軍的驕傲，這些重甲騎兵將教導他們的敵人“精銳騎兵”的含義。
hv_TEXT_unit_desc.loc.tsv,"The role of these troops can be deduced from their appearance; their armour pieces are mismatched, put together by collecting those left in the aftermath of battle, or sourced from nearby villages. \\n\\n Their most important function is to search and collect loot, weapons and armour after the battle to put towards the Great Peace. They are not good at close combat, so they use a bunch of captured repeating crossbows to support frontline.",从这些部队的外观就不难推测他们是干什么的，他们的盔甲要么是从战场上拾捡拼凑而来，要么是从周围村落里搞来的。\\n\\n他们最重要的作用是在战后搜集战利品、武器以及盔甲，从而推进太平大业。他们不善于近战，所以只用一些捡来的连弩支援前线部队。,這群士兵的作用能從外表窺知一二：他們的護甲並非成套，而是收集戰後遺留的部件或附近村莊之物拼湊而成。 \\n\\n 他們最大的用處便是在戰鬥結束後收集戰利品、武器和護甲，以便在成就太平之路上添磚加瓦。他們不善於近戰，所以只用一些撿來的連弩支援前綫部隊。
hv_TEXT_unit_desc.loc.tsv,"Their bolts remind the foe that even at range, noone is truly safe from the might of the Xiliang army.",他们的弩矢提醒敌人，即使离得很远，在强大的西凉军前也不会安全。,他們的弩矢提醒敵人，即使離得很遠，在强大的西涼軍前也不會安全。
hv_TEXT_unit_desc.loc.tsv,"Their own lives are not important, and they will somehow stop the enemy.",不顾己命也要阻挡敌人。,不顧己命也要阻擋敵人。
hv_TEXT_unit_desc.loc.tsv,Their shots are almost always accurate even in the sand breeze.,即使在沙尘中，他们也总能准确命中。,即使在沙塵中，他們也總能準確命中。
hv_TEXT_unit_desc.loc.tsv,These versatile infantry will solve nigh any problem their Wu commanders might face.,这些多能的步兵几乎可以解决吴军将领可能面临的任何问题。,這些多能的步兵幾乎可以解决吳軍將領可能面臨的任何問題。
hv_TEXT_unit_desc.loc.tsv,"To be the bolt of justice, to spearhead a charge deep into the enemy lines, delivering vengeance for an oppressed people, this is the task of these warriors. \\n\\n These cavalry are one of the few shock cavalry of the Yellow Turbans army.; once they have ploughed into an enemy formation with their spears, they have the armour and the skill to keep fighting, thrusting with enough force to pierce most armour with righteous intensity.",这些勇士的使命便是替天行道，为苍生而战，给与敌人致命一击。\\n\\n 这些骑兵是黄巾军中仅有的突击骑兵。他们不但能手持长枪，用冲锋撕裂敌人的阵型，还身披重甲，能够在近战中坚持奋战，用正义的怒火刺穿敌人的铠甲。,替天行道，衝鋒陷陣，為民除害，是彼使命。\\n\\n這些騎兵是黃巾軍中僅有的突擊騎兵。一旦執槍闖入敵陣，便能憑著良甲和武藝持續奮戰，哪怕是頑石般的盔甲也難以抵擋他們灌注義憤的一擊。
hv_TEXT_unit_desc.loc.tsv,"What kind of men are these, who are not soldiers, yet wear elite armour? Bloody men, who have earned their weaponry through victory and pillaging.",这些人并非军士，却穿着精良的铠甲。他们的装备来自于血腥的胜利和洗劫。,這些人并非軍士，卻穿著精良的鎧甲。他們的裝備來自於血腥的勝利和洗劫。
hv_TEXT_unit_desc.loc.tsv,"Where the militia of the Han are pressed into service out of obligation, the Yellow Turban zealots rise to fight because it is the only way to carve a better future for the people. \\n\\n Their fierce determination makes them more effective than standard militia. They charge into battle, lightly-armoured and equipped with explosive materials, ready to rend asunder any who doubt or question the Way.",汉代的民兵往往是被迫服役的，但黄巾战士们确实真心实意为天下苍生而战。\\n\\n 这种坚决的意志使他们比一般的民兵更为勇猛。他们身着轻甲，手持炸裂物，毫不留情地斩杀一切与黄天为敌之人。,漢軍民兵是被迫服役效勞朝廷，黃巾信眾則是為了扶助天下萬民而挺身奮戰。\\n\\n他們堅守職志，比起一般民兵更加善戰。這些信眾執爆裂物著輕甲趕赴沙場，欲將質疑太平道的敵人全數斬除。
hv_TEXT_unit_desc.loc.tsv,"Whether near or from afar, these soldiers shall bring justice to any who would threaten their prince.",无论远近，这些士卒都要为任何威胁他们主公的人讨回公道。,無論遠近，這些士卒都要為任何威脅他們主公的人討回公道。
hv_TEXT_unit_desc.loc.tsv,"Whilst all Yellow Turban warriors are happy to wade into the heart of battle, the Gallants of the People were made to hold the frontline against enemies - to be anywhere else would be to waste their talent and ardour. \\n\\n They are heavily-armoured, though not as heavily plated as some other warriors, yet with great axe they are able to push back the advancing foe whilst deflecting blows. Where their mail may falter, their fanaticism never will.",黄巾军志士个个不怕冲锋陷阵，但是护民勇士尤其适合固守阵线，要是挪作他用可就浪费了他们一身的本领和热忱。\\n\\n他们身披重甲，也许不若其他铁甲兵士防御周全，但可仰赖手中大斧抵挡敌军、化解攻势。正所谓甲胄可破，斗志不渝。,黃巾軍志士個個不怕衝鋒陷陣，但是護民勇士尤其適合固守陣線，要是挪作他用可就浪費了他們一身的本領和熱忱。\\n\\n他們身披重甲，也許不若其他鐵甲兵士防禦周全，但可仰賴手中大斧抵擋敵軍、化解攻勢。正所謂甲冑可破，鬥志不渝。
hv_TEXT_unit_desc.loc.tsv,"With Hand-ji and shield, these Xiliang warriors will bring death to the enemy.",佩戴盾与手戟，这些西凉勇士为敌人带来杀身之祸。,佩戴盾與手戟，這些西涼勇士為敵人帶來殺身之禍。
hv_TEXT_unit_desc.loc.tsv,"With sword and shield, these Xiliang horsemen will strike fear into the foe.",佩戴剑盾，这些西凉骑兵令敌军不寒而栗。,佩戴劍盾，這些西涼騎兵令敵軍不寒而慄。
hv_TEXT_unit_desc.loc.tsv,Years of fighting the steppe tribes have shaped these Xiliang spear-riders into a deadly force.,草原部落多年的战斗已将这些西凉骑兵塑造成了一支致命的力量。,草原部落多年的戰鬥已將這些西涼騎兵塑造成了一支致命的力量。
hv_TEXT_unit_desc.loc.tsv,work in process,未完成,未完成
hv_TEXT_unit_long_desc.loc.tsv,"A heavy bow made of iron is not easy to use for ordinary archers. \\n\n The range is rather short due to the strong tension and heavy arrowheads, but the arrows will penetrate the enemy. \\n\n This unit is heavily armed with ironclad, and in close combat, it cuts enemy troops with direct distribution.",沉重的铁弓，对普通弓箭手来说不容易使用。\\n\n由于强大的张力和沉重的箭头，射程很短，但箭头会穿透敌人。\\n\n这只部队装备有铁甲，在近距离战斗中，可以轻易砍杀敌军。,沉重的鐵弓，對普通弓箭手來說不容易使用。\\n\n由於强大的張力和沉重的箭頭，射程很短，但箭頭會穿透敵人。\\n\n這隻部隊裝備有鐵甲，在近距離戰鬥中，可以輕易砍殺敵軍。
hv_TEXT_unit_long_desc.loc.tsv,"Born from refugees and those peoples who would not submit to the Han empire, these White Tiger Strays have thrown their lot with Yan Baihu, hoping to safeguard their independance. Wearing bad equipment, the most valuable thing they offer to their commanders is their lives; to sell dearly as better men win the battle for them.",,
hv_TEXT_unit_long_desc.loc.tsv,"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm. \\n\\n Gifted with fine armor from their prince, these soldiers expertly wield their halberds in defence of the Han. Advancing on their foe as a disciplined unit, they are a living reminder to the greatness of the Han.",汉德虽衰，余威犹存。这些战士为陈王刘宠效劳。他们身穿金漆铠甲，在战场上形成一道璀璨的风景，提醒世人，只要他们还站着，汉室就还没有消亡。\\n\\n这些士兵从陈王那里得到了精美的盔甲，他们熟练地挥舞着他们的长戟来保卫汉室。作为一支纪律严明的部队，他们向敌人挺进，来见证汉室的辉煌。,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些士兵從陳王那裡得到了精美的盔甲，他們熟練地揮舞著他們的長戟來保衛漢室。作為一支紀律嚴明的部隊，他們向敵人挺進，來見證漢室的輝煌。
hv_TEXT_unit_long_desc.loc.tsv,"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm. \\n\\n These royal guards are a beacon of hope to their allies. Gifted with fine steeds to ride, and clad in the heaviest armour availible from the princely armouries, each man has been trained in a myriad of weapons, from crossbow to the noble Jian sword and shield and is a veteran of many battles.",汉德虽衰，余威犹存。这些战士为陈王刘宠效劳。他们身穿金漆铠甲，在战场上形成一道璀璨的风景，提醒世人，只要他们还站着，汉室就还没有消亡。\\n\\n这些禁卫军是他们盟友的希望。每人都被赐予良马重甲，受过各种武器的训练，从弓弩到剑盾，也都是经过许多战斗的老兵。,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些禁衛軍是他們盟友的希望。每人都被賜予良馬重甲，受過各種武器的訓練，從弓弩到劍盾，也都是經過許多戰鬥的老兵。
hv_TEXT_unit_long_desc.loc.tsv,"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm.\\n\\n These particular soldiers are armed with crossbows, allowing them to barrage the enemies of the Han relentlessly with volley after volley of armour-piercing bolts. Should the enemy cavalry think to charge, they are in for an unpleasant surprise: these warriors also wield spears and shields and will not hesitate to strike down any horseman who comes too close!",汉德虽衰，余威犹存。这些战士为陈王刘宠效劳。他们身穿金漆铠甲，在战场上形成一道璀璨的风景，提醒世人，只要他们还站着，汉室就还没有消亡。\\n\\n这些特殊的士兵装备着弩箭，可以用穿甲弩矢无情地对汉室的敌人进行猛烈的炮击。如果敌人的骑兵想冲锋，他们会有一个不愉快的惊喜：这些战士还装备着长矛和盾牌，会毫不犹豫地击倒任何靠近的骑兵！,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些特殊的士兵裝備著弩箭，可以用穿甲弩矢無情地對漢室的敵人進行猛烈的炮擊。如果敵人的騎兵想衝鋒，他們會有一個不愉快的驚喜：這些戰士還裝備著長矛和盾牌，會毫不猶豫地擊倒任何靠近的騎兵！
hv_TEXT_unit_long_desc.loc.tsv,"Hailing from Taishan, these women have coated their arrow points in a special ointment, made from poisonous herbs native to the region. In battle, A volley from these archers will soon leave the enemy gasping for air as the poison very quickly spreads through their veins. A wise commander will use these soldiers to spread terror through the enemy ranks, yet keep them well-protected: they are vulnerable to cavalry, as their range is limited.",,
hv_TEXT_unit_long_desc.loc.tsv,"Having fled from their homes, these craftsmen and artisans turn their skills to the defence of their new home and master. \\n\\n Having been selected as the brightest from the many refugees flooding his lands, these engineers serve Tao Qian to the best of their ability. Wielding crossbows, they provide support from afar and will deploy smoke bombs and caltrops when an enemy strays too close. However, these men are not proper soldiers and should not be relied upon to hold the line in melee.",,
hv_TEXT_unit_long_desc.loc.tsv,"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Long axes are intimidating to behold, especially in the hand of such a warlike people. Rending shields and armor alike, they are known to be good shock infantry that echo the glory of their ancient dynasty. ",在这片土地上培养出来的士兵是楚国旧王朝的继承人，他们有着共同的气质：斗志昂扬，忠贞不渝。他们是使任何军阀或皇帝适意的战斗力量。\\n\\n长斧令人望而生畏，尤其是在这样一个好战的民族手中。他们被认为是优秀的突击步兵，轻易砍裂盾牌和盔甲，重振他们的古代王朝的荣耀。,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n長斧令人望而生畏，尤其是在這樣一個好戰的民族手中。他們被認為是優秀的突擊步兵，輕易砍裂盾牌和盔甲，重振他們的古代王朝的榮耀。
hv_TEXT_unit_long_desc.loc.tsv,"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Skilled archers, these men provide covering fire for their army as they maneuver nimbly into the most advantageous positions. They should be protected from cavalry however, as they are lightly armoured.",在这片土地上培养出来的士兵是楚国旧王朝的继承人，他们有着共同的气质：斗志昂扬，忠贞不渝。他们是使任何军阀或皇帝适意的战斗力量。\\n\\n这些人是熟练的弓箭手，可以灵活地移动到最有利的位置为他们的军队提供掩护火力。然而他们需要保护免受骑兵攻击，因为他们只有轻护甲。,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些人是熟練的弓箭手，可以靈活地移動到最有利的位置為他們的軍隊提供掩護火力。然而他們需要保護免受騎兵攻擊，因為他們只有輕護甲。
hv_TEXT_unit_long_desc.loc.tsv,"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n These warriors bring caltrops to battle, stunting any enemy advance as the foe perishes on the unseen traps. Any survivors are quickly dealt with by the blades these warriors wield. A skilled general would be wary of archers though: they are lightly armored and carry no shield.",在这片土地上培养出来的士兵是楚国旧王朝的继承人，他们有着共同的气质：斗志昂扬，忠贞不渝。他们是使任何军阀或皇帝适意的战斗力量。\\n\\n这些战士携带蒺藜，设下看不见的陷井来阻碍敌人前进。任何幸存者都会很快被这些战士的利刃处理掉。一个熟练的将军会小心防备弓箭手：他们的盔甲很轻，没有盾牌。,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些戰士携帶蒺藜，設下看不見的陷阱來阻礙敵人前進。任何倖存者都會很快被這些戰士的利刃處理掉。一個熟練的將軍會小心防備弓箭手：他們的盔甲很輕，沒有盾牌。
hv_TEXT_unit_long_desc.loc.tsv,"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Wielding spear and shield, these soldiers form a defensive screen for their army against calvary charges. Their armor is lighter than most other armies, but this makes them more mobile: many horsemen have been taken off-guard by a sudden rush of Jingchu Spearmen!",在这片土地上培养出来的士兵是楚国旧王朝的继承人，他们有着共同的气质：斗志昂扬，忠贞不渝。他们是使任何军阀或皇帝适意的战斗力量。\\n\\n这些士兵使用长矛和盾牌，为他们的军队形成一道防御屏障，抵御骑兵冲锋。他们的盔甲比其他大多数军队都轻，但这使他们更加机动：许多骑兵被突如其来的荆楚矛兵打了个措手不及！,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些士兵使用長矛和盾牌，為他們的軍隊形成一道防禦屏障，抵禦騎兵衝鋒。他們的盔甲比其他大多數軍隊都輕，但這使他們更加機動：許多騎兵被突如其來的荊楚矛兵打了個措手不及！
hv_TEXT_unit_long_desc.loc.tsv,"If only strength can rule, then strength must be displayed often and in great abundance. And it must be used to make an example of fools who would believe otherwise. \\n\\n Trained in the Xiliang style of warfare, these disciplined warriors form the backbone of the ironfisted rule that Dong Zhuo and Lu Bu impose upon the Han. Skilled with both the bow and the sword, they habitually patrol the streets to put down any unrest. ",如果只有力量才能统治，那么就必须经常充分地展现这样的力量。必须用那些不信的傻瓜们来罚一儆百。\\n\\n这些经过西凉训练的战士，是董卓与吕布强加于汉朝的铁腕统治的中坚力量。\\n\\n他们弓剑娴熟，经常上街巡逻，平息骚乱。,如果只有力量才能統治，那麼就必須經常充分地展現這樣的力量。必須用那些不信的傻瓜們來罰一儆百。\\n\\n這些經過西涼訓練的戰士，是董卓與呂布强加於漢朝的鐵腕統治的中堅力量。\\n\\n他們弓劍嫻熟，經常上街巡邏，平息騷亂。
hv_TEXT_unit_long_desc.loc.tsv,"If only strength can rule, then strength must be displayed often and in great abundance. And it must be used to make example of fools who would believe otherwise. \\n\\n Trained in the Xiliang style of warfare, these disciplined warriors form the backbone of the ironfisted rule that Dong Zhuo and Lu Bu impose upon the Han. Atop their steeds, they patrol the countryside, putting down any opposition with bow and sword. ",如果只有力量才能统治，那么就必须经常充分地展现这样的力量。必须用那些不信的傻瓜们来罚一儆百。\\n\\n这些经过西凉训练的战士，是董卓与吕布强加于汉朝的铁腕统治的中坚力量。\\n\\n他们骑马在乡间巡逻，用弓剑击倒任何敌人。,如果只有力量才能統治，那麼就必須經常充分地展現這樣的力量。必須用那些不信的傻瓜們來罰一儆百。\\n\\n這些經過西涼訓練的戰士，是董卓與呂布强加於漢朝的鐵腕統治的中堅力量。\\n\\n他們騎馬在鄉間巡邏，用弓劍擊倒任何敵人。
hv_TEXT_unit_long_desc.loc.tsv,"In order to live in the shadow of the great wall and the tribes of the steppe, a people must learn to cope with hardship and discipline. Its soldiers must learn doubly so and are the better for it. \\n\\n Every army has their elites: those of the Xiliang army are more so than most. Armed with the two-handed zhanmadao, these warriors can bring any cavalry charge to a brutal standstill and make short work of their foes afterwards.",一边是长城的阴影，另一边是草原各部落，西凉民族必须纪律严明，艰苦奋斗。而西凉士兵则必须加倍做到。\\n\\n每一支军队都有自己的精锐，西凉精锐则尤其出色。\\n\\n这些战士装备双手斩马刀，可以让任何骑兵的冲锋陷入死战，然后轻易地解决掉敌人。,一邊是長城的陰影，另一邊是草原各部落，西涼民族必須紀律嚴明，艱苦奮鬥。而西涼士兵則必須加倍做到。\\n\\n每一支軍隊都有自己的精銳，西涼精銳則尤其出色。\\n\\n這些戰士裝備雙手斬馬刀，可以讓任何騎兵的衝鋒陷入死戰，然後輕易地解決掉敵人。
