Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated
Confusion casued by the new coin.,,0,,,,,,,,,FALSE
Congestion,擁堵,1,擁堵,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effect_faction.loc,FALSE
Conquest Yellow Turbans,剿滅黃巾,1,剿滅黃巾,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_etc.loc,FALSE
Council Proctor,縣丞,1,縣丞,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],z_dummy_hv_TEXT_non_deployable.loc,FALSE
Courage and energy are rising.,勇氣與精力皆以重振。,1,勇氣與精力皆以重振。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_abilities.loc,FALSE
Courage of Eastern Wu,東吳之勇,4,東吳之勇,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_skill_ability_wu_brave.loc,FALSE
Court Management,宮廷管理,1,宮廷管理,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
Covers ally troops to retreat safely.,掩護友軍安全撤離。,1,掩護友軍安全撤離。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_abilities.loc,FALSE
Crossbow Artillery,弩炮,3,弩炮,,,,,,,,FALSE
Crossbow Artillery (Buqu),弩炮（部曲）,1,,弩炮（部曲）,部曲,弩炮,,Crossbow Artillery,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2_VM.loc,FALSE
Crossbow Artillery (Elite),弩炮（精銳）,1,,弩炮（精銳）,精銳,弩炮,,Crossbow Artillery,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3_VM.loc,FALSE
Crossbow Artillery (Militia),弩炮（義勇）,1,,弩炮（義勇）,義勇,弩炮,,Crossbow Artillery,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1_VM.loc,FALSE
Crossbow Artillery (Royal Guard),弩炮（禁衛）,0,,弩炮（禁衛）,禁衛,弩炮,,Crossbow Artillery,,,FALSE
Crossbow Cavalry (Buqu),持弩騎兵（部曲）,4,,持弩騎兵（部曲）,部曲,持弩騎兵,,Crossbow Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Crossbow Cavalry (Elite),持弩騎兵（精銳）,4,,持弩騎兵（精銳）,精銳,持弩騎兵,,Crossbow Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Crossbow Cavalry (Militia),持弩騎兵（義勇）,4,,持弩騎兵（義勇）,義勇,持弩騎兵,,Crossbow Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Crossbow Cavalry (Royal Guard),持弩騎兵（禁衛）,0,,持弩騎兵（禁衛）,禁衛,持弩騎兵,,Crossbow Cavalry,,,FALSE
Crossbow Infantry (Buqu),持弩步兵（部曲）,12,,持弩步兵（部曲）,部曲,持弩步兵,,Crossbow Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Crossbow Infantry (Elite),持弩步兵（精銳）,12,,持弩步兵（精銳）,精銳,持弩步兵,,Crossbow Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Crossbow Infantry (Militia),持弩步兵（義勇）,11,,持弩步兵（義勇）,義勇,持弩步兵,,Crossbow Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Crossbow Infantry (Royal Guard),持弩步兵（禁衛）,0,,持弩步兵（禁衛）,禁衛,持弩步兵,,Crossbow Infantry,,,FALSE
Cruel Command,,5,,,,,,,酷令,hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Cry of the Forest,,1,,,,,,,森林戰嚎,hv_TEXT_skills_skill_skill_name_desc.loc,FALSE
Cultural friction has caused inter-ethnic conflict between Qiang barbarians and Han settlers. The turmoil is pushing many to leave the region.,,2,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between Shanyue barbarians and Han settlers. The turmoil is pushing many to leave the region.,,2,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between the Qiang barbarians and Han settlers. The turmoil is pushing many to leave the region.,,0,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between the Shanyue barbarians and Han settlers. The turmoil is pushing many to leave the region.,,0,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between the Wuhuan barbarians and Han settlers. The turmoil is pushing many to leave the region.,,0,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between the Xiongnu barbarians and Han settlers. The turmoil is pushing many to leave the region.,,0,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between Wuhuan barbarians and Han settlers. The turmoil is pushing many to leave the region.,,2,,,,,,,,,FALSE
Cultural friction has caused inter-ethnic conflict between Xiongnu barbarians and Han settlers. The turmoil is pushing many to leave the region.,,2,,,,,,,,,FALSE
Cunning,智謀,2,智謀,,,,,,足智多謀,z_dummy_hv_TEXT_non_deployable.loc,FALSE
Cunning Monkeys,狡猴兵,1,狡猴兵,,,,,Monkeys,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
CUSTOM BATTLE (BETA),自定義戰鬥（BETA）,1,自定義戰鬥（BETA）,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_etc.loc,FALSE
CUSTOM BATTLE (WIP),自定義戰鬥（WIP）,1,自定義戰鬥（WIP）,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],!hv_TEXT_system.loc,FALSE
Danyang Archers,丹陽弓兵,1,,丹陽弓兵,丹陽,,弓兵,Archers,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
Danyang Spearmen,丹陽長槍兵,1,,丹陽長槍兵,丹陽,,長槍兵,Spearmen,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
Danyang Troop Barrack,丹陽部隊軍營,1,丹陽部隊軍營,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc,FALSE
Danyang Troop Encampment,丹陽部隊營寨,1,丹陽部隊營寨,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc,FALSE
Danyang Troop Military Talisman,,0,,,,,,,,,FALSE
Danyang Troop Military Talisman can be earned when occupied,,0,,,,,,,,,FALSE
Danyang Troop Post,丹陽部隊據點,2,丹陽部隊據點,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_building.loc,FALSE
Danyang Troop Tally,丹陽虎符,1,丹陽虎符,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_ceo.loc,FALSE
Danyang troop tally can be earned when occupied,占據時可獲得丹陽虎符,1,占據時可獲得丹陽虎符,,,,,,,hv_TEXT_region_army.loc,FALSE
Danyang Troops Officer,丹陽部隊士官,1,丹陽部隊士官,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_ceo.loc,FALSE
Danyang Veterans,丹陽老兵,1,,丹陽老兵,丹陽,,老兵,Veterans,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
Dead or Alive,,3,,,,,,,生死之間,hv_TEXT_unit_abilities.loc,FALSE
DEBUG GUY,校尉,1,校尉,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_cb_loadout.loc,FALSE
Decay,,6,,,,,,,消退,hv_TEXT_pooled_resource.loc,FALSE
Decrease,,5,,,,,,,降低,hv_TEXT_pooled_resource.loc,FALSE
Defeat,,2,,,,,,,,,FALSE
Defence Hardened,,3,,,,,,,堅守,hv_TEXT_unit_abilities.loc,FALSE
Defenders of Earth,,2,,,,,,of Earth,后土衛,hv_TEXT_unit_text_replacements.loc,FALSE
Defenders of Earth (Might),,0,,,,,,,,,FALSE
Defense is the best attack.,,1,,,,,,,驅逐這些人是非常困難的。,hv_TEXT_unit_abilities.loc,FALSE
Defensive Stance,防禦姿態,3,防禦姿態,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_abilities.loc,FALSE
Delivers a very powerful blow.,可發出非常有力的一擊。,4,可發出非常有力的一擊。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Desperate Cry,,4,,,,,,,慘烈呼喊,hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Desperate Stand,背水一戰,3,背水一戰,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_abilities.loc,FALSE
Desperation soon leads to violence.,,1,,,,,,,絕望很快的導致亂暴。,hv_TEXT_unit_abilities.loc,FALSE
Determination and grit allow all attacks to be dodged.,,2,,,,,,,抱有足夠的決心與膽識便可避開所有攻勢。,hv_TEXT_skills_skill_skill_name_desc.loc,FALSE
Devastating Roar,,1,,,,,,,毀滅之吼,hv_TEXT_skills_skill_skill_name_desc.loc,FALSE
Devoted Mother,躬親主母,2,躬親主母,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_ceo_career.loc,FALSE
Dian Wei,,1,,,,,,,典韋,hv_TEXT_cb_loadout.loc,FALSE
Diligence,,1,,,,,,,勤奮努力,hv_TEXT_skills_basic.loc,FALSE
Disorientate,,4,,,,,,,打亂方向,hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Distant Courage,,2,,,,,,,千里助勢,hv_TEXT_skills_skill_skill_name_desc.loc,FALSE
Distracts the focus of enemy ranged troops.,分散敵軍遠程部隊的注意力。,3,分散敵軍遠程部隊的注意力。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Disturb,攪擾,5,攪擾,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Disturbance,擾亂,1,擾亂,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
Do not let emotion cloud your acuity.,,1,,,,,,,莫讓情緒蒙蔽心靈的敏銳。,hv_TEXT_skills_skill_skill_name_desc.loc,FALSE
Dong Min,董旻,1,董旻,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_cb_loadout.loc,FALSE
Dong Zhuo,,1,,,,,,,董卓,hv_TEXT_cb_loadout.loc,FALSE
Dong Zhuo's Command,,5,,,,,,,董卓之令,hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
Dongzhoubing Defenders,,1,,,,,,Defenders,東州兵衛士,hv_TEXT_unit_text_replacements.loc,FALSE
Dongzhoubing Marksmen,,1,,,,,,Marksmen,東州兵射手,hv_TEXT_unit_text_replacements.loc,FALSE
Dragon Rising,覺醒之龍,3,覺醒之龍,,,,,,覺醒之龍,hv_TEXT_unit_abilities.loc,FALSE
Dragonlings,少龍兵,1,少龍兵,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
Drifting Warmongers,漂流戰販,1,漂流戰販,,,,,Warmongers,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_text_replacements.loc,FALSE
Dual Wield Hafted Weapon Cavalry (Buqu),雙斧騎兵（部曲）,1,,雙斧騎兵（部曲）,部曲,雙斧騎兵,,Dual Wield Hafted Weapon Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Dual Wield Hafted Weapon Cavalry (Elite),雙斧騎兵（精銳）,1,,雙斧騎兵（精銳）,精銳,雙斧騎兵,,Dual Wield Hafted Weapon Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Dual Wield Hafted Weapon Cavalry (Militia),雙斧騎兵（義勇）,1,,雙斧騎兵（義勇）,義勇,雙斧騎兵,,Dual Wield Hafted Weapon Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Dual Wield Hafted Weapon Cavalry (Royal Guard),雙斧騎兵（禁衛）,0,,雙斧騎兵（禁衛）,禁衛,雙斧騎兵,,Dual Wield Hafted Weapon Cavalry,,,FALSE
Dual Wield Hafted Weapon Infantry (Buqu),雙斧步兵（部曲）,3,,雙斧步兵（部曲）,部曲,雙斧步兵,,Dual Wield Hafted Weapon Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Dual Wield Hafted Weapon Infantry (Elite),雙斧步兵（精銳）,3,,雙斧步兵（精銳）,精銳,雙斧步兵,,Dual Wield Hafted Weapon Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Dual Wield Hafted Weapon Infantry (Militia),雙斧步兵（義勇）,3,,雙斧步兵（義勇）,義勇,雙斧步兵,,Dual Wield Hafted Weapon Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Dual Wield Hafted Weapon Infantry (Royal Guard),雙斧步兵（禁衛）,0,,雙斧步兵（禁衛）,禁衛,雙斧步兵,,Dual Wield Hafted Weapon Infantry,,,FALSE
Dual Wield Hand-Ji Infantry (Buqu),雙戟步兵（部曲）,3,,雙戟步兵（部曲）,部曲,雙戟步兵,,Dual Wield Hand-Ji Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Dual Wield Hand-Ji Infantry (Elite),雙戟步兵（精銳）,4,,雙戟步兵（精銳）,精銳,雙戟步兵,,Dual Wield Hand-Ji Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Dual Wield Hand-Ji Infantry (Militia),雙戟步兵（義勇）,3,,雙戟步兵（義勇）,義勇,雙戟步兵,,Dual Wield Hand-Ji Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Dual Wield Hand-Ji Infantry (Royal Guard),雙戟步兵（禁衛）,1,,雙戟步兵（禁衛）,禁衛,雙戟步兵,,Dual Wield Hand-Ji Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_ytr.loc,FALSE
Dual Wield Sword Cavalry (Buqu),雙劍騎兵（部曲）,1,,雙劍騎兵（部曲）,部曲,雙劍騎兵,,Dual Wield Sword Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Dual Wield Sword Cavalry (Elite),雙劍騎兵（精銳）,2,,雙劍騎兵（精銳）,精銳,雙劍騎兵,,Dual Wield Sword Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Dual Wield Sword Cavalry (Militia),雙劍騎兵（義勇）,1,,雙劍騎兵（義勇）,義勇,雙劍騎兵,,Dual Wield Sword Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Dual Wield Sword Cavalry (Royal Guard),雙劍騎兵（禁衛）,1,,雙劍騎兵（禁衛）,禁衛,雙劍騎兵,,Dual Wield Sword Cavalry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_ytr.loc,FALSE
Dual Wield Sword Infantry (Buqu),雙劍步兵（部曲）,6,,雙劍步兵（部曲）,部曲,雙劍步兵,,Dual Wield Sword Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t2.loc,FALSE
Dual Wield Sword Infantry (Elite),雙劍步兵（精銳）,6,,雙劍步兵（精銳）,精銳,雙劍步兵,,Dual Wield Sword Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t3.loc,FALSE
Dual Wield Sword Infantry (Militia),雙劍步兵（義勇）,5,,雙劍步兵（義勇）,義勇,雙劍步兵,,Dual Wield Sword Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_t1.loc,FALSE
Dual Wield Sword Infantry (Royal Guard),雙劍步兵（禁衛）,1,,雙劍步兵（禁衛）,禁衛,雙劍步兵,,Dual Wield Sword Infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_ui_group_ytr.loc,FALSE
Duke or Grand Master,勢力級別達到公,1,勢力級別達到公,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_etc.loc,FALSE
"Each character in Sun Ce's faction grants him shared expertise points once they reach rank 5. At ranks 9, 12 and 15 they generate one extra point respectively.",孫策勢力中每位人物在達到5級后均會與他分享專長點。在9級、12級和15級時他們分別會產生一個額外的點數。,2,孫策勢力中每位人物在達到5級后均會與他分享專長點。在9級、12級和15級時他們分別會產生一個額外的點數。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_etc.loc,FALSE
Earthen Rampart,,4,,,,,,,大地堡壘,hv_TEXT_skills_skill_ability__historical.loc,FALSE
Earth-shattering Strike,,5,,,,,,,天崩地裂,hv_TEXT_skills_skill_ability_name_desc.loc,FALSE
"Echoing the glory of Chu, the great axes these men wield will make short work of their shielded foes.",這些人所揮的大斧是楚國的榮耀，即使是持盾的敵人亦命不久矣。,1,這些人所揮的大斧是楚國的榮耀，即使是持盾的敵人亦命不久矣。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_desc.loc,FALSE
"Echoing the nomads they fought for years, these horse archers will do the Xiliang army proud on any battlefield.",這些馬弓手與其他遊牧部落征戰多年，在任何戰場上都是西涼軍的驕傲。,1,這些馬弓手與其他遊牧部落征戰多年，在任何戰場上都是西涼軍的驕傲。,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_desc.loc,FALSE
